#This txt sheet contains the sum of the FC values for every run that is present in the PIDclary folder
#The files in the PIDclary folder are the output of the PID analysis which checked to see if there was 
#a corresponding fcrationom file to the root22 file. 
#Brandon Clary
#Output of FCAdd.py
#5-24-2017
59829 140587423 140612329
59830 153449729 153543052
59831 142631155 142649778
59832 78033784 78074340
59834 134541946 134477452
59835 133401888 133325143
59836 137238078 137166766
59837 162332079 162462408
59839 156893242 157037785
59840 155470954 155569884
59841 153049916 153164774
59842 159922896 160018393
59844 159876190 160002833
59845 97240168 97318743
59846 157678816 157781444
59847 162302192 162423097
59849 160887201 161059455
59850 157038837 157309602
59851 209246751 209546955
59852 27954204 28012910
59853 81755391 81860463
59854 39710083 39786110
59855 97183879 97329151
59856 160676153 160944128
59857 154601027 154863116
59858 160309891 160610105
59859 416516034 416941333
59861 150640184 150780625
59862 134193218 134321250
59863 137879753 138011664
59864 95238984 95385241
59866 21372743 21247136
59867 26675322 26592285
59868 18151591 18159103
59869 164573981 164461577
59870 163675464 163551008
59871 161833867 161733539
59873 161052002 160977510
59875 157687413 157653308
59876 165575614 165580038
59878 155466719 155432070
59879 161817456 161771782
59880 177888625 177824827
59881 27897935 27877346
59883 89114473 89107764
59884 114987236 115407101
59885 158756692 158890511
59886 156341676 156487849
59888 161333769 161528946
59889 160664393 160828875
59890 151184544 151404033
59891 133472361 133640212
59893 156604727 156786583
59894 19153390 19197696
59896 69484282 69584594
59899 7845589 7864374
59900 110007374 110262463
59901 152850828 153114876
59904 179242803 179438715
59905 166656708 166851809
59906 153505034 153688971
59907 167450942 167616981
59909 109068324 109198910
59910 19511432 19509260
59911 153688349 153763232
59912 73746998 73514468
59914 160675449 160271721
59915 161883153 161567428
59916 130784181 130601651
59917 164553380 164325122
59919 159071722 158916897
59920 162617865 162510507
59921 164330505 164122748
59922 125956808 125738618
59923 94838355 94689385
59924 191192246 191003756
59925 11370330 11363592
59926 157683689 157448186
59927 169465765 169216679
59929 150125782 149925175
59930 157261715 157044845
59931 102888313 102708509
59932 139050845 139273890
59934 26022824 26067717
59935 168784852 169082320
59936 159065334 159409575
59937 163514505 163801365
59939 161631576 161936908
59940 158903609 159207154
59941 184447294 184766040
59942 22006727 22050109
59944 142205211 142310834
59947 9163239 9172272
59948 139102192 139109073
59949 144264541 144111048
59950 130861148 130733383
59951 141422099 141323834
59953 145319763 145272298
59954 150365991 150308598
59955 142770317 142922044
59956 154943578 155078422
59958 160277832 160376898
59959 163842337 163975303
59960 145068909 145142727
59961 147352764 147429563
59963 68983099 69057294
59964 34916382 34954828
59965 142047448 142145279
59966 7559687 7567932
59967 16689695 16682277
59968 139887070 139917015
59969 153270995 153403009
59970 35842233 35876042
59971 97198169 97199088
59972 112955875 112996821
59973 150519568 150631170
59974 148157306 148258223
59976 117527864 117386464
59985 142739913 142718856
59986 155602266 155528363
59987 143071994 142970510
59989 150305444 150121357
59990 154495218 154675383
